Category: All categories

Month,Low-code development platform: (Worldwide)
2014-01,1
2014-02,3
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,4
2014-09,1
2014-10,2
2014-11,1
2014-12,1
2015-01,4
2015-02,1
2015-03,2
2015-04,2
2015-05,3
2015-06,2
2015-07,1
2015-08,3
2015-09,3
2015-10,2
2015-11,3
2015-12,1
2016-01,1
2016-02,4
2016-03,2
2016-04,3
2016-05,4
2016-06,5
2016-07,4
2016-08,3
2016-09,6
2016-10,6
2016-11,2
2016-12,10
2017-01,10
2017-02,10
2017-03,9
2017-04,8
2017-05,8
2017-06,8
2017-07,9
2017-08,7
2017-09,9
2017-10,11
2017-11,15
2017-12,8
2018-01,19
2018-02,20
2018-03,22
2018-04,16
2018-05,9
2018-06,13
2018-07,20
2018-08,33
2018-09,27
2018-10,26
2018-11,38
2018-12,30
2019-01,30
2019-02,33
2019-03,36
2019-04,36
2019-05,39
2019-06,44
2019-07,40
2019-08,47
2019-09,45
2019-10,57
2019-11,48
2019-12,46
2020-01,49
2020-02,58
2020-03,45
2020-04,51
2020-05,63
2020-06,64
2020-07,71
2020-08,66
2020-09,75
2020-10,60
2020-11,57
2020-12,61
2021-01,62
2021-02,82
2021-03,85
2021-04,79
2021-05,88
2021-06,96
2021-07,77
2021-08,87
2021-09,100
2021-10,94
2021-11,93
